INPUT:previous	INPUT:sentence	INPUT:following	INPUT:quiz_file	INPUT:answer_num	INPUT:question_num	INPUT:sentence_num	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
The correct answer is (c) Forest of sea turtles	" The name ""Tortuguero"" in Costa Rica's Tortuguero National Park means ""Forest of sea turtles"" in Spanish"	 The park is located on the country's northeastern coast and is renowned for its significant nesting grounds for several species of sea turtles, including the green sea turtle, hawksbill turtle, and leatherback turtle	artifacts\v6\filtered_pop_quiz_5.json	2	0	1	True	False			https://platform.toloka.ai/task/41539152/000279d650--651a36d715b13a5af69b08a2	000279d650--6514898fba0d275c33251917	000279d650--651a36d715b13a5af69b08a2	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:19:51.265
 The correct answer is c) 22	 This means that a total of 22 red cards were shown during the match	 This is a very high number of red cards for a single match, especially considering that it was a 5th tier match	artifacts\v6\filtered_pop_quiz_4.json	6	6	2	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a36d715b13a5af69b08a2	000279d650--6514898fba0d275c332519a6	000279d650--651a36d715b13a5af69b08a2	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:19:51.265
 Bayern Munich, one of the most successful teams in European football, had reached the final after defeating Real Madrid in the semi-finals	 However, they were unable to overcome the resilient Porto side, who were managed by the legendary coach Jose Mourinho	 The victory was a significant achievement for Porto, as they were considered underdogs against the star-studded Bayern Munich team	artifacts\v6\filtered_pop_quiz_4.json	0	5	4	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a36d715b13a5af69b08a2	000279d650--6514898fba0d275c332519a0	000279d650--651a36d715b13a5af69b08a2	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:19:51.265
 Italy struggled to break down Spain's solid defense and were unable to produce any goals of their own	 With this victory, Spain became the first team to win three consecutive major tournaments (Euro 2008, World Cup 2010, and Euro 2012)		artifacts\v6\filtered_pop_quiz_4.json	1	0	5	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148992ba0d275c33251b54	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
	"
Croatia has a total of 9 national parks"	 These national parks showcase the country's diverse natural beauty, from the stunning waterfalls of Plitvice Lakes National Park to the rugged mountains of Paklenica National Park	artifacts\v6\filtered_pop_quiz_5.json	1	1	0	True	False			https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--6514898fba0d275c33251934	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a European Championship qualifier match, Rooney scored his 50th international goal for England	artifacts\v6\filtered_pop_quiz_4.json	6	2	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148992ba0d275c33251bd4	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
 It is also home to other species of sea turtles, such as hawksbill, loggerhead, and leatherback turtles	" The name ""Tortuguero"" reflects the park's crucial role in the conservation of these magnificent sea creatures"		artifacts\v6\filtered_pop_quiz_5.json	7	0	5	True	True			https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--6514898fba0d275c33251925	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
	The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	artifacts\v6\filtered_pop_quiz_4.json	5	2	0	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148992ba0d275c33251bc6	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
	Croatia has a total of 10 national parks	 These national parks are protected areas that showcase the country's stunning natural beauty and biodiversity	artifacts\v6\filtered_pop_quiz_5.json	3	1	0	True	False			https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148993ba0d275c33251caf	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was awarded the Man of the Match	 His goal in the 113th minute secured Germany's 1-0 victory and their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were also key players in the final, but it was Goetze's goal that made the difference and earned him the prestigious award	artifacts\v6\filtered_pop_quiz_4.json	5	1	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148992ba0d275c33251b94	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
 The Horn of Africa was encountered by Vasco da Gama in 1497	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean		artifacts\v6\filtered_pop_quiz_1.json	1	0	6	False				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--6514898fba0d275c33251992	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 49th and 50th goals for the England national team	artifacts\v6\filtered_pop_quiz_4.json	2	2	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--6514898fba0d275c33251994	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was named the Man of the Match	 Goetze's goal in the 113th minute secured a 1-0 victory for Germany, earning them their fourth World Cup title	artifacts\v6\filtered_pop_quiz_4.json	4	1	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148992ba0d275c33251b8c	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
 It also plays a crucial role in organizing and moving internal components of the cell, such as organelles and vesicles	 The cytoskeleton consists of protein filaments, including microtubules, microfilaments, and intermediate filaments, which work together to maintain the cell's structure, facilitate cell movement, and enable intracellular transport	 Therefore, option b is the correct answer	artifacts\v6\filtered_pop_quiz_3.json	1	4	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148990ba0d275c332519d6	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
	"
Porto beat Barcelona in the 2004 Champions League final"	 This was a surprising victory for Porto as Barcelona were considered the favorites to win the match	artifacts\v6\filtered_pop_quiz_4.json	2	5	0	True				https://platform.toloka.ai/task/41539152/000279d650--651a37ba5c59e330eef9f8e7	000279d650--65148992ba0d275c33251c14	000279d650--651a37ba5c59e330eef9f8e7	9d1b34d7481b495c6d22710bad126b6f	APPROVED	2023-10-02T03:23:38.902
 The win was a historic moment for Porto, as it was their first ever Champions League title	 Barcelona, on the other hand, were left disappointed as they failed to secure the trophy despite having a talented squad		artifacts\v6\filtered_pop_quiz_4.json	2	5	4	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251c1b	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
	The correct answer is (c) Forest of sea turtles	" The name ""Tortuguero"" in Costa Rica's Tortuguero National Park means ""Forest of sea turtles"" in Spanish"	artifacts\v6\filtered_pop_quiz_5.json	0	0	0	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251c83	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
 This is a very high number of red cards for a single match, especially considering that it was a 5th tier match	 The high number of red cards indicates that there were several incidents of serious foul play or misconduct during the match, leading to players being sent off	 It is rare to see so many red cards being shown in a single match, as referees usually try to maintain control of the game and keep the number of send-offs to a minimum	artifacts\v6\filtered_pop_quiz_4.json	6	6	4	Cannot say	Cannot say			https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251c67	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
 The match was likely characterized by intense physical play and players losing their temper, resulting in numerous fouls and dismissals	 The number of red cards given out in this match is a testament to the poor discipline and sportsmanship displayed by the players involved		artifacts\v6\filtered_pop_quiz_4.json	2	6	3	Cannot say	Cannot say			https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251c4f	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
	Croatia has a total of 10 national parks	 These national parks are protected areas that showcase the country's stunning natural beauty and biodiversity	artifacts\v6\filtered_pop_quiz_5.json	3	1	0	False	False			https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251caf	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
	Debtedness is the correct answer because the Great Depression in the United Kingdom led to a significant increase in public and private debt	 The economic downturn caused a decline in trade and investment, resulting in reduced income and increased unemployment	artifacts\v6\filtered_pop_quiz_3.json	3	0	0	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148991ba0d275c33251af4	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
In 2011, a 5th tier match in Argentina saw a record number of red cards being given out	 The correct option is c) 22	 This means that a total of 22 players were shown red cards during the match	artifacts\v6\filtered_pop_quiz_4.json	1	6	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251c41	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
 The park's name reflects the importance of these sea turtles and their nesting activities within the protected area	 Visitors to Tortuguero National Park have the opportunity to witness the incredible spectacle of sea turtles coming ashore to lay their eggs, making it a popular ecotourism destination		artifacts\v6\filtered_pop_quiz_5.json	5	0	4	True				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148993ba0d275c33251c9b	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
"
Porto beat Barcelona in the 2004 Champions League final"	 This was a surprise victory for Porto, as Barcelona was considered the favorite to win the match	 Despite Barcelona having more possession and shots on goal, Porto managed to secure a 2-1 victory with goals from Carlos Alberto and Deco	artifacts\v6\filtered_pop_quiz_4.json	6	5	1	False				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--6514898fba0d275c3325194c	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
 The Horn of Africa was encountered by Vasco da Gama in 1497	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean		artifacts\v6\filtered_pop_quiz_1.json	1	0	6	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--6514898fba0d275c33251992	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
 In the 2014 World Cup final, Germany defeated Argentina 1-0 in extra time	 Mario Goetze scored the winning goal in the 113th minute and was subsequently named the Man of the Match	 His goal was a superb finish, controlling the ball with his chest before volleying it into the net	artifacts\v6\filtered_pop_quiz_4.json	0	1	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148992ba0d275c33251b72	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
"
The correct answer is d) Organizes and moves internal parts of the cell"	 The nucleus is responsible for organizing and coordinating the activities of the cell	 It contains the cell's DNA, which carries the instructions for making proteins and other molecules essential for cell function	artifacts\v6\filtered_pop_quiz_3.json	4	1	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a575815b13a5af6a2a925	000279d650--65148991ba0d275c33251b21	000279d650--651a575815b13a5af6a2a925	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T05:38:32.635
 Goetze scored the only goal of the match in the 113th minute of extra time, securing Germany's victory over Argentina	 His goal was a superb finish, controlling the ball with his chest before volleying it into the net with his left foot	 Goetze's goal not only won Germany the World Cup but also earned him the prestigious Man of the Match award in the final	artifacts\v6\filtered_pop_quiz_4.json	1	1	3	True				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148992ba0d275c33251b7c	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
"

The correct answer is c) 22"	 In 2011, during a 5th tier match in Argentina, a total of 22 red cards were given out	 This is an unusually high number of red cards for a single match, highlighting the intensity and aggression of the game	artifacts\v6\filtered_pop_quiz_4.json	4	6	1	True	False			https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148993ba0d275c33251c57	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
 He was born on February 26, 1967, making him the oldest active professional footballer at the age of 54	 While Malaysia and Ecuador have their own football leagues, the oldest footballer in the world is not currently playing in either of these countries	 Therefore, South Africa is the correct answer	artifacts\v6\filtered_pop_quiz_4.json	0	7	2	Cannot say	True			https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148993ba0d275c33251c7d	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
Balboa was the first European to encounter the Pacific Ocean	 In 1513, he crossed the Isthmus of Panama and reached the Pacific Ocean, becoming the first European to see and explore its eastern shores	 This discovery opened up new opportunities for trade and exploration in the Pacific	artifacts\v6\filtered_pop_quiz_1.json	6	0	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148990ba0d275c332519fc	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
 The park is located on the country's northeastern coast and is renowned for its significant nesting grounds for several species of sea turtles, including the green sea turtle, hawksbill turtle, and leatherback turtle	 These turtles come ashore to lay their eggs in the sandy beaches of the park, making it a crucial habitat for their conservation	 The park is also home to various other wildlife, including monkeys, caimans, and a wide variety of bird species	artifacts\v6\filtered_pop_quiz_5.json	2	0	3	True	Cannot say			https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148993ba0d275c33251c8b	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
"
During the Great Depression in the United Kingdom, one of the significant socio-economic effects was debtedness"	 The economic downturn led to a decline in industrial production, high unemployment rates, and a decrease in wages	 As a result, many individuals and businesses were unable to repay their loans and accumulated significant debt	artifacts\v6\filtered_pop_quiz_3.json	4	0	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--6514898fba0d275c33251960	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
"
Croatia has a total of 9 national parks"	 These national parks showcase the country's diverse natural beauty, from the stunning waterfalls of Plitvice Lakes National Park to the rugged mountains of Paklenica National Park	 Each national park offers unique experiences and opportunities for outdoor activities such as hiking, wildlife spotting, and swimming in crystal-clear lakes and rivers	artifacts\v6\filtered_pop_quiz_5.json	1	1	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148993ba0d275c33251ca7	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
"
The correct answer is b) 3-0"	 The score in the Euro 2012 final was 3-0		artifacts\v6\filtered_pop_quiz_4.json	5	0	1	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148992ba0d275c33251b68	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
" ""Tortuguero"" is derived from the Spanish word ""tortuga,"" which means turtle"	 The park is located on the Caribbean coast of Costa Rica and is one of the most important nesting sites for green turtles in the Western Hemisphere	 It is also home to other species of sea turtles, such as hawksbill, loggerhead, and leatherback turtles	artifacts\v6\filtered_pop_quiz_5.json	7	0	3	True				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--6514898fba0d275c332519a8	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
 The win over Blackburn was a dominant performance by Chelsea, with goals coming from a variety of players including Didier Drogba, Salomon Kalou, Frank Lampard, and Ashley Cole	 This victory showcased Chelsea's attacking prowess and their ability to perform under pressure in a crucial match		artifacts\v6\filtered_pop_quiz_4.json	1	3	4	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148992ba0d275c33251be2	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
 The reason for so many red cards being given out in this particular match is unclear, but it may be attributed to high tension and aggression on the field, resulting in numerous fouls and misconduct	 The referee likely had to take strict action to maintain control over the game and ensure player safety	 The high number of red cards serves as a reminder of the importance of fair play and sportsmanship in football, as well as the consequences that can result from reckless behavior on the field	artifacts\v6\filtered_pop_quiz_4.json	3	6	3	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148990ba0d275c33251a32	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
 The Dutch East Indies were a major source of sugar for the United States, and the loss of this supply led to shortages	 To ensure that the available sugar was fairly distributed, the US government implemented a rationing system in 1942, which limited the amount of sugar that could be purchased by individuals and businesses	 Rationing was an important measure during World War II to ensure that essential goods were available for the war effort and to prevent hoarding and price gouging	artifacts\v6\filtered_pop_quiz_2.json	4	1	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a63015c59e330ee069144	000279d650--65148991ba0d275c33251ada	000279d650--651a63015c59e330ee069144	38ea0364c222be2ea5084c24756d9425	APPROVED	2023-10-02T06:28:17.588
" The name ""Tortuguero"" in Costa Rica's Tortuguero National Park means ""Forest of sea turtles"" in Spanish"	 The park is located on the country's northeastern coast and is renowned for its significant nesting grounds for several species of sea turtles, including the green sea turtle, hawksbill turtle, and leatherback turtle	 These turtles come ashore to lay their eggs in the sandy beaches of the park, making it a crucial habitat for their conservation	artifacts\v6\filtered_pop_quiz_5.json	2	0	2	True	Cannot say			https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--6514898fba0d275c332518f5	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
 This decision was made due to the country's desire for greater independence and to show its commitment to non-alignment during the Cold War	 West Germany wanted to assert its own foreign policy and distance itself from the influence of NATO and the United States	 This move was met with concern from other NATO members, but West Germany remained a part of the organization and continued to contribute to its goals and missions	artifacts\v6\filtered_pop_quiz_cold_war.json	0	0	2	False				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148993ba0d275c33251ccf	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
"
Croatia has a total of 9 national parks"	 These national parks are protected areas that showcase the country's diverse natural beauty	 Each national park in Croatia has its own unique features, such as stunning waterfalls, crystal-clear lakes, and diverse wildlife	artifacts\v6\filtered_pop_quiz_5.json	0	1	1	True	True			https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--6514898fba0d275c33251921	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
 This name is fitting because Tortuguero National Park is an important nesting site for several species of sea turtles, including the endangered green sea turtle and the critically endangered hawksbill turtle	 The park's beaches are where these sea turtles come ashore to lay their eggs, making it a vital habitat for their survival	 Visitors to Tortuguero National Park can witness the incredible spectacle of sea turtles nesting or hatching, contributing to the park's reputation as a prime ecotourism destination in Costa Rica	artifacts\v6\filtered_pop_quiz_5.json	3	0	3	True	True			https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--6514898fba0d275c33251915	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
 Mario Goetze won the Man of the Match award in the 2014 World Cup final	 He scored the winning goal for Germany in the 113th minute of the match against Argentina, securing Germany's victory and their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all players in the final match, but Goetze's goal and overall performance earned him the prestigious Man of the Match award	artifacts\v6\filtered_pop_quiz_4.json	2	1	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148992ba0d275c33251b82	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
"
Porto beat Barcelona in the 2004 Champions League final"	 This was a surprise victory for Porto, as Barcelona was considered the favorite to win the match	 Despite Barcelona having more possession and shots on goal, Porto managed to secure a 2-1 victory with goals from Carlos Alberto and Deco	artifacts\v6\filtered_pop_quiz_4.json	6	5	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--6514898fba0d275c3325194c	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
	The correct answer is (c) Forest of sea turtles	" The name ""Tortuguero"" in Costa Rica's Tortuguero National Park means ""Forest of sea turtles"" in Spanish"	artifacts\v6\filtered_pop_quiz_5.json	0	0	0	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148993ba0d275c33251c83	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, Rooney scored his 50th international goal in a European Championship qualifying match against San Marino	artifacts\v6\filtered_pop_quiz_4.json	3	2	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148992ba0d275c33251bba	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
 The game ended in a 1-1 draw after extra time, and Manchester United won 2-1 in a dramatic penalty shootout	 This victory secured Manchester United's place in the 2017-2018 UEFA Champions League		artifacts\v6\filtered_pop_quiz_4.json	2	4	4	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148992ba0d275c33251bf6	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, Rooney scored his 50th international goal in a European Championship qualifying match against San Marino	 This goal surpassed Sir Bobby Charlton's record of 49 goals for England and made Rooney the all-time leading goalscorer for the national team	artifacts\v6\filtered_pop_quiz_4.json	3	2	2	False				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148990ba0d275c332519d8	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
 In the 2014 World Cup final, Germany defeated Argentina 1-0 in extra time	 Mario Goetze scored the winning goal in the 113th minute and was subsequently named the Man of the Match	 His goal was a superb finish, controlling the ball with his chest before volleying it into the net	artifacts\v6\filtered_pop_quiz_4.json	0	1	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148992ba0d275c33251b72	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was named the Man of the Match	 Goetze's goal in the 113th minute secured a 1-0 victory for Germany, earning them their fourth World Cup title	artifacts\v6\filtered_pop_quiz_4.json	4	1	1	True				https://platform.toloka.ai/task/41539152/000279d650--651a9aad15b13a5af6b2c61c	000279d650--65148992ba0d275c33251b8c	000279d650--651a9aad15b13a5af6b2c61c	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:25:49.938
	The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	artifacts\v6\filtered_pop_quiz_4.json	6	2	0	Cannot say				https://platform.toloka.ai/task/41539152/000279d650--651a9b63aebe1d0ee5b04805	000279d650--65148992ba0d275c33251bd2	000279d650--651a9b63aebe1d0ee5b04805	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:28:51.546
	Vanoise is the odd one out because it is the only national park that is not located in France	 The other options, Guiana Amazonian, Guadeloupe, and Kaieteur, are all national parks that are considered to be in France	artifacts\v6\filtered_pop_quiz_5.json	0	2	0	Cannot say	False			https://platform.toloka.ai/task/41539152/000279d650--651a9b63aebe1d0ee5b04805	000279d650--6514898fba0d275c3325190f	000279d650--651a9b63aebe1d0ee5b04805	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:28:51.546
 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was awarded the Man of the Match	 His goal in the 113th minute secured Germany's 1-0 victory and their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were also key players in the final, but it was Goetze's goal that made the difference and earned him the prestigious award	artifacts\v6\filtered_pop_quiz_4.json	5	1	2	True				https://platform.toloka.ai/task/41539152/000279d650--651a9b63aebe1d0ee5b04805	000279d650--65148992ba0d275c33251b94	000279d650--651a9b63aebe1d0ee5b04805	e09316d5dc593d35329b3be9dd7dddf7	APPROVED	2023-10-02T10:28:51.546
